date,sp500_22d_fwd_target,small_cap_22d_fwd_target,10y_treasury_22d_fwd_target,gold_22d_fwd_target,commodity_22d_fwd_target
2017-06-30,0.6994599103927612,0.3557507395744324,0.33469483256340027,0.5815227031707764,1.0062427520751953
2017-07-31,0.599044680595398,0.38619574904441833,0.20627684891223907,0.9755359292030334,0.767942488193512
2017-08-31,0.5757993459701538,0.8146719336509705,1.0120080709457397,0.18353822827339172,0.4014516770839691
2017-09-29,0.9916477203369141,0.37252694368362427,0.7302914261817932,0.21056510508060455,0.709378182888031
2017-10-31,0.835178792476654,0.9857222437858582,0.5709100365638733,0.2018081545829773,0.42743682861328125
2017-11-30,0.7702539563179016,0.20114248991012573,0.3854929804801941,0.6484935283660889,0.9567872285842896
2017-12-29,0.8155766725540161,0.33825236558914185,0.9985446333885193,0.582472562789917,0.2615795433521271
2018-01-31,0.20709192752838135,0.39395785331726074,1.0170024633407593,0.7249343991279602,0.6826373338699341
2018-02-28,0.40188896656036377,0.7704671025276184,0.21503108739852905,0.984844446182251,0.6115824580192566
2018-03-30,0.33376458287239075,0.567018985748291,0.9852942228317261,0.273139625787735,0.8007948994636536
2018-04-30,0.6179560422897339,1.0244941711425781,0.18564283847808838,0.42081502079963684,0.80899578332901
2018-05-31,0.7161537408828735,0.6951453685760498,0.976307213306427,0.3969000577926636,0.20486558973789215
2018-06-29,0.7952516674995422,0.5890156626701355,1.0100141763687134,0.20070162415504456,0.4106326997280121
2018-07-31,0.8077462911605835,0.998201847076416,0.19932882487773895,0.47132980823516846,0.5396996736526489
2018-08-31,0.589328408241272,0.2061467170715332,0.9946842193603516,0.40554845333099365,0.7923927903175354
2018-09-28,0.403007835149765,0.19989918172359467,0.6257519721984863,0.9616197347640991,0.823499321937561
2018-10-31,0.9879435300827026,0.7996646165847778,0.2046506702899933,0.6010826230049133,0.38639751076698303
2018-11-30,0.5916507244110107,0.2481955587863922,0.34792155027389526,0.9894784092903137,0.7954410314559937
2018-12-31,0.8048309087753296,1.0077228546142578,0.19993863999843597,0.44550490379333496,0.5551075339317322
2019-01-31,0.8094570636749268,1.0114095211029053,0.6017194986343384,0.2014072835445404,0.4019836485385895
2019-02-28,1.0036977529525757,0.3955499529838562,0.20796579122543335,0.6012622117996216,0.8079259395599365
2019-03-29,0.7963407039642334,0.5912910103797913,0.999964714050293,0.27666953206062317,0.32776743173599243
2019-04-30,0.5984008312225342,0.40455561876296997,0.19738435745239258,0.9982917308807373,0.7990592122077942
2019-05-31,0.7931922674179077,0.5981988310813904,0.2015913426876068,0.9994057416915894,0.4012928307056427
2019-06-28,0.8046261072158813,0.5992534756660461,1.0045448541641235,0.39570119976997375,0.19864478707313538
2019-07-31,0.7593790292739868,0.6418980360031128,0.20029199123382568,0.9998313188552856,0.4027596116065979
2019-08-30,0.7907313108444214,0.6041684150695801,1.0019629001617432,0.20337766408920288,0.40042832493782043
2019-09-30,0.6036095023155212,0.7987346053123474,1.0014859437942505,0.19984887540340424,0.40159472823143005
2019-10-31,0.7976745367050171,0.9988622665405273,0.40055370330810547,0.5967885255813599,0.20067350566387177
2019-11-29,0.39789924025535583,0.20165438950061798,1.003358006477356,0.7987311482429504,0.6023390889167786
2019-12-31,0.7967127561569214,0.5979864597320557,0.2008131742477417,0.9976608753204346,0.39569851756095886
2020-01-31,0.6018671989440918,0.39984026551246643,0.2024661898612976,0.9946163892745972,0.794171929359436
2020-02-28,0.7951862215995789,0.3922923505306244,0.21654121577739716,0.9998940825462341,0.6021380424499512
2020-03-31,0.803564190864563,1.003106713294983,0.203512042760849,0.598365306854248,0.39682847261428833
2020-04-30,0.7764057517051697,0.39996689558029175,0.6288349628448486,0.19809547066688538,1.0006688833236694
2020-05-29,0.4019731879234314,0.6014701128005981,0.19724011421203613,0.9294840097427368,0.8727474212646484
2020-06-30,0.5996080040931702,0.399461567401886,0.19959856569766998,0.9975343942642212,0.7969101071357727
2020-07-31,0.6032055616378784,0.3969871997833252,0.9992288947105408,0.20071029663085938,0.7983287572860718
2020-08-31,0.4031350016593933,0.599807858467102,0.19968822598457336,0.8642392158508301,0.9333153367042542
2020-09-30,0.3706345558166504,0.7992550134658813,1.0007930994033813,0.22853517532348633,0.6017480492591858
2020-10-30,0.7966410517692566,0.9978051781654358,0.40201884508132935,0.20017196238040924,0.5976129770278931
2020-11-30,0.3240167796611786,0.7727001309394836,0.9945682883262634,0.6232324838638306,0.27857518196105957
2020-12-31,0.4003574550151825,0.7990438938140869,0.9982455968856812,0.19997906684875488,0.5986334085464478
2021-01-29,0.40026578307151794,0.7995530962944031,1.0007898807525635,0.2001243233680725,0.5994992256164551
2021-02-26,0.7986161708831787,0.6010201573371887,1.001573085784912,0.39844250679016113,0.1993110030889511
2021-03-31,0.8002855777740479,0.5101264119148254,0.19830286502838135,0.48927420377731323,0.998354971408844
2021-04-30,0.5989125967025757,0.40091606974601746,0.19829976558685303,1.00038743019104,0.8011554479598999
2021-05-31,0.9986177682876587,0.801352858543396,0.40016764402389526,0.19631311297416687,0.6034388542175293
2021-06-30,0.6019266247749329,0.39914470911026,0.20054669678211212,0.942365825176239,0.8590072989463806
2021-07-30,0.9989995956420898,0.6219647526741028,0.7789255380630493,0.4007708728313446,0.19995704293251038
2021-08-31,0.3994361460208893,0.606323778629303,0.9989384412765503,0.19590869545936584,0.7934105396270752
2021-09-30,0.9999583959579468,0.6490085124969482,0.20044714212417603,0.7463391423225403,0.3980824947357178
2021-10-29,0.9998220205307007,0.5989209413528442,0.39995837211608887,0.8005142211914062,0.1992197334766388
