date,sp500_60_40,small_cap_60_40,10y_treasury_60_40,gold_60_40,commodity_60_40,sp500_ml_gb,small_cap_ml_gb,10y_treasury_ml_gb,gold_ml_gb,commodity_ml_gb,sp500_ml_rf,small_cap_ml_rf,10y_treasury_ml_rf,gold_ml_rf,commodity_ml_rf,sp500_ml_svr,small_cap_ml_svr,10y_treasury_ml_svr,gold_ml_svr,commodity_ml_svr,sp500_gan_nn,small_cap_gan_nn,10y_treasury_gan_nn,gold_gan_nn,commodity_gan_nn,sp500_gan_lstm,small_cap_gan_lstm,10y_treasury_gan_lstm,gold_gan_lstm,commodity_gan_lstm,sp500_gan_tcn,small_cap_gan_tcn,10y_treasury_gan_tcn,gold_gan_tcn,commodity_gan_tcn
2017-07-03,0.6,0,0.4,0,0,0.14195,0.18554,0.10899,0.3006,0.26292,0.17796,0.157,0.0596,0.27687,0.32857,0.24406,0.05324,0.13041,0.21282,0.35947,0.16105,0.03,0.03,0.26256,0.51638,0.25038,0.03,0.03,0.13245,0.55717,0.23263,0.03,0.03,0.16878,0.53858
2017-07-04,0.6,0,0.4,0,0,0.14195,0.18554,0.10899,0.3006,0.26292,0.17796,0.157,0.0596,0.27687,0.32857,0.24406,0.05324,0.13041,0.21282,0.35947,0.16105161051610517,0.03000030000300003,0.03000030000300003,0.2625626256262563,0.5163851638516385,0.25038,0.03,0.03,0.13245,0.55717,0.23263232632326322,0.030000300003000028,0.030000300003000028,0.16878168781687816,0.5385853858538585
2017-07-05,0.6015782455937623,0,0.39842175440623767,0,0,0.14259585345021508,0.18526184955552788,0.10876779698805654,0.30214843687108484,0.2612260631351156,0.1788122310168875,0.15680193597402634,0.0594926431495735,0.2783624184683633,0.3265307713911492,0.24528203524648473,0.053184382872622255,0.13020336514310613,0.21401363751918492,0.3573165792186019,0.1620027262232877,0.02999575459603724,0.029979544383433754,0.2642713195236089,0.5137506552736325,0.2519915275702232,0.03001127885057186,0.02999506024839892,0.13338228169084138,0.5546198516399646,0.23407659147002222,0.03000478105772109,0.029988565967065197,0.1699311992139332,0.5359988622912584
2017-07-06,0.5956388636727801,0,0.40436113632722004,0,0,0.14146053193366023,0.18299845363714803,0.11060230641061568,0.30302384505175983,0.2619148629668162,0.17750721687541196,0.15498984636787738,0.060536529321938426,0.2793556483146028,0.3276107591201694,0.24304827463949424,0.052473974507444184,0.1322465866058437,0.2143859464189344,0.35784521782828344,0.16055720410027471,0.029600585404462205,0.030455656345981262,0.2647802389922631,0.5146063151570187,0.24998976675903462,0.029645162047395056,0.030501520672637984,0.13377116129999492,0.5560923892209374,0.23217084743996338,0.029632834691597002,0.030488837216999853,0.1703926616181707,0.537314819033269
2017-07-07,0.5948497886455,0,0.4051502113545001,0,0,0.1425658413691311,0.1852211402237057,0.11183217060848585,0.30007190923504706,0.2603089385636302,0.17903516937661904,0.15699597682313526,0.061257917887875525,0.2768522999503008,0.32585863596206943,0.24501487687302145,0.05312596247347671,0.13375399422120196,0.21235601521143377,0.35574915122086603,0.16242601690721548,0.030073850505076397,0.030911219372157787,0.2631962575672762,0.5133926556482741,0.2524632167877114,0.03006717654809721,0.03090435958716853,0.1327414996350602,0.5538237474419627,0.23455757667902447,0.03006615670363814,0.030903311346412183,0.16914571828195277,0.5353272369889724
2017-07-10,0.5972967923377902,0,0.40270320766220974,0,0,0.14258531830525364,0.1841113528556855,0.11071647002316172,0.30070302285963507,0.26188383595626413,0.17887602975022304,0.15589529443959296,0.06058459026465124,0.2771501101974985,0.3274939753480342,0.24480851024655087,0.052755963033810326,0.13228998418775348,0.21259436453934533,0.35755117799254005,0.1619311209837746,0.0297985033744603,0.030505420326891963,0.2629102765220697,0.5148546787928034,0.2516983400190462,0.02979240583249492,0.03049917813149452,0.13259956029513753,0.5554105157218269,0.2338557525922939,0.029792517006142962,0.030499291942541345,0.16897121404775664,0.5368812244112651
2017-07-11,0.5980230200363329,0,0.4019769799636672,0,0,0.14211309696386573,0.18424251904937652,0.11001702572498549,0.3003130825366302,0.2633142757251421,0.17818288750234074,0.15591821403758332,0.06016783648574133,0.2766343237405301,0.3290967382338046,0.24398105665725342,0.052789937934398595,0.1314452619017607,0.2123041621124729,0.35947958139411434,0.16111071288220308,0.029767238598644663,0.03025934236342761,0.26210712239866474,0.5167555837570599,0.2503998284216357,0.029758377604903772,0.030250334882186196,0.13218218393493578,0.5574092751563386,0.23267002591040545,0.02976114089590245,0.030253143855148264,0.1684543648937657,0.5388613244447781
2017-07-12,0.6033498005601247,0,0.39665019943987534,0,0,0.1430343925257052,0.18556026970524,0.10829826376912992,0.30118042903015046,0.26192664496977447,0.17926721095098752,0.1569713816535295,0.059204468541916695,0.2773237459270472,0.327233192926519,0.2459009863026464,0.053240738924610856,0.12956995895621556,0.21321060130586053,0.3580777145106666,0.16234699690414195,0.030015608272793134,0.02982184767351258,0.26317509379034376,0.5146404533592086,0.2523239399877496,0.030006990509288893,0.029813285540499175,0.13272217110200044,0.5551336128604619,0.23443735154212378,0.030007146898144717,0.02981344091981363,0.16912770695475982,0.5366143536851581
2017-07-13,0.6016466998377283,0,0.3983533001622716,0,0,0.14349458105249893,0.1859837838622745,0.10942206235990407,0.3011384443640512,0.2599611283612714,0.18001405991357713,0.1574784404973839,0.059875400186076,0.2775473294863196,0.3250847699166435,0.24680555532350898,0.05338678819625349,0.13097468378221724,0.2132788966935275,0.3555540760044929,0.16335911981647486,0.030174586924821514,0.030221919884395508,0.2639297472521511,0.512314626122157,0.2538960660090165,0.03016581161710061,0.030213130811406273,0.13310225762073075,0.5526227339417459,0.23587997013583978,0.030163658924868306,0.030210974742382286,0.16959906299943667,0.534146333197473
2017-07-14,0.6057355371472886,0,0.3942644628527114,0,0,0.14348269836868635,0.18551357506944763,0.10755896892770585,0.30225084001360986,0.26119391762055033,0.1797952035778937,0.15690231851007327,0.05878923428007157,0.2782569414015132,0.32625630223044827,0.24676328351100074,0.053247103009497816,0.12873323043285753,0.2140478027215016,0.35720858032514236,0.16288949262172087,0.03001425721758158,0.029624391278371784,0.26416501859272984,0.5133068402895958,0.25324178303027606,0.030014491238330943,0.02962462225934179,0.1332607004824827,0.5538584029895685,0.2352606777262817,0.03001089046693771,0.02962106825965812,0.16979269719562146,0.5353146663515008
