date,sp500_chg,small_cap_chg,10y_treasury_chg,gold_chg,commodity_chg,sp500_rolling_mean,sp500_rolling_std,small_cap_rolling_mean,small_cap_rolling_std,10y_treasury_rolling_mean,10y_treasury_rolling_std,gold_rolling_mean,gold_rolling_std,commodity_rolling_mean,commodity_rolling_std,sp500_22d_forward_return,small_cap_22d_forward_return,10y_treasury_22d_forward_return,gold_22d_forward_return,commodity_22d_forward_return,sp500_22d_fwd_target,small_cap_22d_fwd_target,10y_treasury_22d_fwd_target,gold_22d_fwd_target,commodity_22d_fwd_target,inflation_roc,inflation_revision,growth_roc,growth_revision,composite_inflation,composite_growth,sentiment_score_sp500,sentiment_score_small_cap,sentiment_score_treasury,sentiment_score_gold,sentiment_score_commodity,z_composite_inflation,z_composite_growth,regime
2017-06-30,-0.0086000232468206,-0.0063637544009786,0.0207113933918441,-0.0030449109199719,0.0060614239901244,0.0001378497956726,0.0046033378913338,0.0014988967552874,0.0079073039978252,0.0011177050787056,0.0146966594628399,-0.0006277645491791,0.0066751881473078,-0.0010189816292365,0.0053684331799509,0.0209117240473319,0.0063127127417033,0.0110278322934032,0.0180035567377776,0.0376244619414891,0.8,0.2,0.4,0.6,1.0,-1.668827982906698,1.1702169112226295,0.267169706940846,0.9973155090989606,-0.249305535842034,0.6322426080199033,0.0291666666666666,-0.0112878787878787,-0.0704761904761904,0.4073214285714285,-0.0923809523809523,-0.00157577179201887,0.6137597511450463,1
2017-07-03,0.0015332318107057,-0.0005931124482934,0.0154389441769231,-0.0028130526742935,0.0156153524464999,0.0002284498235161,0.0046106204232801,0.0015044231644201,0.0079057255797919,0.0022500306541194,0.0148011769937249,-0.001112180075459,0.0064126421686823,-0.0001070539334828,0.0063691050228135,0.021845328469749,0.0091637257216254,-0.0221546990623165,0.025711312702102,0.0112590838057602,0.8,0.4,0.2,1.0,0.6,-1.668827982906698,1.1702169112226295,0.267169706940846,0.9973155090989606,-0.249305535842034,0.6322426080199033,0.0291666666666666,-0.0112878787878787,-0.0704761904761904,0.4073214285714285,-0.0923809523809523,-0.0015755682954461886,0.6136506400149189,1
2017-07-04,0.0023108338495552,0.007998013563004,0.0191137747522394,-0.0183766645080282,0.0061743601168497,-1.0653756563288647e-05,0.0043401673731799,0.0010104331844824,0.0070639642555238,0.0026841658970635,0.0151615656176685,-0.001768809479912,0.0073814236224662,0.0003766448728792,0.0064260451024184,0.0199917078968465,-0.0096588084069946,-0.0358055727955652,0.0442565262612539,0.009866438320325,0.8,0.4,0.2,1.0,0.6,-1.668827982906698,1.1702169112226295,0.267169706940846,0.9973155090989606,-0.249305535842034,0.6322426080199033,0.0291666666666666,-0.0112878787878787,-0.0704761904761904,0.4073214285714285,-0.0923809523809523,-0.0015753648776923345,0.6135415870557974,1
2017-07-05,0.0,0.0,0.0,0.0,0.0,-0.0001791869979493,0.0042601529113581,0.0007066576348804,0.0069512024198502,0.0038733258498752,0.013751805928997,-0.0021203933511943,0.0070854764166795,0.0004483034483104,0.0064120026240159,0.0177643987345752,-0.0150349569873031,-0.0502983941705534,0.0409721844271002,0.0026471088808499,0.8,0.4,0.2,1.0,0.6,-1.668827982906698,1.1702169112226295,0.267169706940846,0.9973155090989606,-0.249305535842034,0.6322426080199033,0.0291666666666666,-0.0112878787878787,-0.0704761904761904,0.4073214285714285,-0.0923809523809523,-0.001575161538706443,0.6134325922160118,1
2017-07-06,0.0014532790242456,-0.0045770803901615,-0.0051150237549666,0.0020527136463461,-0.0095054856181645,-5.778044303748266e-05,0.0042672015901338,0.0007877571023802,0.0068748025952254,0.0031565937969946,0.0137924743615364,-0.002116089093417,0.0070881002097191,0.000198430538166,0.006694818518195,0.0182073217095202,-0.0055135570118586,-0.028706147174331,0.0310554110585656,0.0116617965018408,0.8,0.4,0.2,1.0,0.6,-1.668827982906698,1.1702169112226295,0.267169706940846,0.9973155090989606,-0.249305535842034,0.6322426080199033,0.0291666666666666,-0.0112878787878787,-0.0704761904761904,0.4073214285714285,-0.0923809523809523,-0.0015749582784376917,0.6133236554439563,1
2017-07-07,-0.0093688238205867,-0.0136182554574062,0.0154240673635626,0.0014748662092798,0.0012147530914943,-0.0003573160728159,0.0046787544026198,0.000219195717131,0.0075256432618674,0.0045867905233876,0.0133306857586644,-0.0025855638298877,0.0064341380820185,-1.2430661075106416e-05,0.0065802922420703,0.0295299977629941,0.0095373282548918,-0.0476792917861271,0.0294550821782328,0.0157729080397823,1.0,0.4,0.2,0.8,0.6,-1.668827982906698,1.1702169112226295,0.267169706940846,0.9973155090989606,-0.249305535842034,0.6322426080199033,0.0291666666666666,-0.0112878787878787,-0.0704761904761904,0.4073214285714285,-0.0923809523809523,-0.0015747550968353027,0.6132147766880893,1
2017-07-10,0.0064031254863057,0.0107294398225914,0.0097046426236104,-0.0111274555140487,-0.0075223869323149,-0.0001375493337815,0.0048826163569343,0.0006492192479238,0.0078517104505069,0.0043716059079922,0.0132016671913977,-0.002940355438157,0.006686920461232,-6.77841478049804e-05,0.0066405883171879,0.0205098143793087,-0.0040187743979619,-0.0459673632547831,0.0395499336370177,0.0261613607556268,0.6,0.4,0.2,1.0,0.8,-1.668827982906698,1.1702169112226295,0.267169706940846,0.9973155090989606,-0.249305535842034,0.6322426080199033,0.0291666666666666,-0.0112878787878787,-0.0704761904761904,0.4073214285714285,-0.0923809523809523,-0.0015745519938485497,0.6131059558969334,1
2017-07-11,0.0009277662125786,-0.0052053871165569,-0.0091934128719536,0.0028959126846772,0.0068459356687238,-0.0001075238117775,0.0048872527579801,-0.0002037885503131,0.0073878816673284,0.0036198051346346,0.0134919576613801,-0.0023225053781382,0.0065629353503784,0.0001213833309252,0.0067805191727412,0.019193175169895,-0.0081791019836219,-0.0548292330735128,0.0502434004130911,0.0250121119879502,0.6,0.4,0.2,1.0,0.8,-1.668827982906698,1.1702169112226295,0.267169706940846,0.9973155090989606,-0.249305535842034,0.6322426080199033,0.0291666666666666,-0.0112878787878787,-0.0704761904761904,0.4073214285714285,-0.0923809523809523,-0.0015743489694267484,0.6129971930190745,1
2017-07-12,-0.0007826806116978,0.0032518109865797,-0.0037958931872722,0.0012375216815549,0.008013550604951,-0.0001053734198358,0.0048869301329623,-0.0002518461977502,0.0073605159267602,0.0033436788053445,0.0135825666685207,-0.0019884610364729,0.0065479088164746,0.0003528905135158,0.006965072706992,0.0052276951789795,-0.0286684889889221,-0.0635055444937318,0.0577620113679486,0.0062636026678803,0.6,0.4,0.2,1.0,0.8,-1.668827982906698,1.1702169112226295,0.267169706940846,0.9973155090989606,-0.249305535842034,0.6322426080199033,0.0291666666666666,-0.0112878787878787,-0.0704761904761904,0.4073214285714285,-0.0923809523809523,-0.0015741460235192562,0.6128884880031629,1
2017-07-13,0.0073056076358954,0.0079755826556064,-0.0148179872990121,0.0037079763435454,-0.0044566987731672,0.0002711888898986,0.0051295783607629,0.0001906096440302,0.0075556190193333,0.0023807425077125,0.0140991675533334,-0.0017339158540509,0.0066597295571073,0.0006080584651436,0.0066612305962087,-0.0007899034649034,-0.0351676362820148,-0.0593038320639701,0.0571381470986873,0.012704118608328,0.6,0.4,0.2,1.0,0.8,-1.668827982906698,1.1702169112226295,0.267169706940846,0.9973155090989606,-0.249305535842034,0.6322426080199033,0.0291666666666666,-0.0112878787878787,-0.0704761904761904,0.4073214285714285,-0.0923809523809523,-0.0015739431560754865,0.6127798407979126,1
