date,60_40 portfolio,ml_gb portfolio,ml_rf portfolio,ml_svr portfolio,gan_nn portfolio,gan_lstm portfolio,gan_tcn portfolio
2017-07-03,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2017-07-04,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2017-07-05,99.88259579125608,99.69174384662112,99.6680285915807,99.64638748738538,99.55737610315882,99.50488193783225,99.52742584826404
2017-07-06,99.93345634681646,99.55035073657625,99.46014012201216,99.6200485247286,99.51257395969274,99.36194591542586,99.40427485147211
2017-07-07,100.70675449408537,99.41103071680133,99.24273101275004,99.45321189492478,98.99747983388534,99.01846393148959,99.02281286731015
2017-07-10,100.38722891780237,99.48966891919866,99.42317970001852,99.62939524022426,99.39216439311396,99.41151262968124,99.41213578740036
2017-07-11,100.18684486778231,99.74213137044819,99.7318225975424,99.88904254450208,99.82010079834632,99.84882520033369,99.84055274622338
2017-07-12,100.02779141460623,99.82366801662131,99.85277487155277,99.8331878646663,99.78365679981597,99.81131573096025,99.81179366023916
2017-07-13,100.49898463151257,99.69006029690972,99.62490785713902,99.65374826556334,99.3513218776767,99.37922961580287,99.38731589430225
2017-07-14,100.28710803549944,100.16425663120489,100.21234068559058,100.1366313439226,100.1034193652376,100.10163783995498,100.11464939694797
2017-07-17,100.1133908903998,100.30306011729567,100.35357286193663,100.1941293672188,100.22306985720643,100.15408178246749,100.18590753895262
2017-07-18,99.36539348170484,100.39643509174016,100.57411657659905,100.28230215483705,100.6303486921627,100.50067068732858,100.54589515930329
2017-07-19,99.77719492946987,100.83538679739847,101.03153514347252,100.7051239315048,101.05456095519504,100.99598678122462,101.02111721577687
2017-07-20,99.73370712757712,100.93925655350141,101.13561680887632,100.78121489496151,101.16559879106408,101.07011020931346,101.10491617077618
2017-07-21,99.13152221517352,100.70434978165737,100.91015888765449,100.42201717676471,100.87227293690493,100.63759521319278,100.71705841221971
2017-07-24,99.44165811537623,100.70249624138398,100.82759163039934,100.37208462285768,100.66774173643323,100.41098008090138,100.49877480886327
2017-07-25,100.84762361632109,101.33088684044932,101.3310425359912,101.0514292600469,101.07201313861086,100.8878800579656,100.95355127655307
2017-07-26,100.11470782156695,101.14193922911515,101.30306495984723,100.98729687647729,101.30549925693741,101.18124908377396,101.22538393937987
2017-07-27,100.53257981847139,101.57776884078109,101.71569995095473,101.50520018186545,101.87115291471952,101.65129536087862,101.71673740530962
2017-07-28,100.09252072956737,101.7003945801358,101.8889383868732,101.60074425397032,102.15816766335163,101.84435585836411,101.93288461680878
2017-07-31,100.09920821862845,101.57733060497706,101.76152949526667,101.5135762439255,102.0466770416127,101.7410592642168,101.82754600762148
2017-08-01,99.54478661044126,101.27556817043137,101.43251946130728,100.92745587235135,101.50427677795439,101.05595898262631,101.18665310467031
2017-08-02,99.76879263124749,101.17921270274547,101.4927281703814,100.94698654830187,101.61035771696716,101.15768814323212,101.27501003843447
2017-08-03,99.03687709281296,100.7101908993497,101.04205052045992,100.54278459830194,101.12950565603077,100.68712767103094,100.81633723529936
2017-08-04,99.83938762705027,100.6350450268808,100.82090657157994,100.24417729031717,100.80089956486972,100.3783462533876,100.50076036156327
2017-08-07,99.76089905819062,100.78320997023582,100.98484273654081,100.3529758024509,100.97191331836467,100.5465927124992,100.65673538211509
2017-08-08,100.0763411446575,100.72589936729139,100.95469109864894,100.28336626351309,100.98195225138763,100.54827317321265,100.64583646182254
2017-08-09,99.31169793062234,101.05452250935427,101.56116267969477,100.97968058245269,101.76987765092801,101.30299960705197,101.40364706851354
2017-08-10,97.93501677276693,100.44579407711997,101.19518856768742,100.82289311408336,101.64010564684224,101.1317158465819,101.25374643784092
2017-08-11,97.60318238436746,100.60681363117214,101.38761505583555,101.02791110989644,101.85379385369302,101.34054265050233,101.46369595706271
2017-08-14,98.72525200007671,100.90145967997087,101.4290994904021,101.09971487474776,101.66910309986618,101.1995492925003,101.35158172960847
2017-08-15,99.52696751207841,100.38895098098212,100.89015052802407,100.55644053296592,101.04028199674431,100.59471164089808,100.75315209181633
2017-08-16,98.90382479153412,100.4579865329249,100.99885724114847,100.68489901334581,101.15809631415607,100.71115026120717,100.87323267361289
2017-08-17,97.50728579664519,100.0359410383386,100.87555692835954,100.64104299098898,101.34426286963966,100.83767033616678,100.98640345790682
2017-08-18,97.31127363217658,100.08673509715857,100.96929074595485,100.66198610038009,101.49661182080374,100.9762193670823,101.1036598178093
2017-08-21,97.13164583806734,100.17255716393024,101.09073389565995,100.84999318361527,101.62838185594345,101.1073027258069,101.24845219505904
2017-08-22,98.33298574328126,100.46919011458144,101.20138271407137,100.91326883287641,101.54724394305967,101.06333605382721,101.21323494822349
2017-08-23,97.35038529557642,100.4690108411578,101.27873352774087,100.9862832231506,101.71761796517387,101.21349408690293,101.35358012784855
2017-08-24,97.63494755711312,100.50966616413682,101.27103654263432,100.92438956252153,101.72740036919194,101.21645371916661,101.34313032944377
2017-08-25,97.29112817476761,100.66375624554163,101.42895847584614,101.15611794405991,101.88527106178186,101.37435250002854,101.51746097148059
2017-08-28,97.14293853893308,101.23493499353322,102.08240684419646,101.93049000102977,102.65531925211627,102.11855069546235,102.27815745426007
2017-08-29,96.78577811445533,101.34689194846537,102.2186914070737,102.08417314775254,102.80853171898625,102.26795234445203,102.43001711219159
2017-08-30,97.18190397007196,101.31536153143975,102.055593395867,101.92813669024,102.50890484450542,101.99619917362924,102.1727665601371
2017-08-31,97.1318565353452,102.20304635195174,102.98356428316667,102.71910656460535,103.51229659709652,102.97635416268938,103.11813171279388
2017-09-01,97.88017463584431,102.53553438148869,103.23586531766118,102.99369638865606,103.80643266136856,103.2593633748009,103.40265470622639
2017-09-04,97.88017463584431,102.53553438148869,103.23586531766118,102.99369638865606,103.80643266136856,103.2593633748009,103.40265470622639
2017-09-05,95.85757608099134,100.99667470054672,101.5700574513651,101.5560992660414,102.22455001458337,101.57205348792203,101.93506984977098
2017-09-06,96.72967916830844,101.6717411280993,102.32810857112908,102.19847962254215,103.0425324545262,102.42994876612144,102.65571074335358
2017-09-07,95.86614290602888,100.98604541843969,101.55082911233801,101.56674103731206,102.2122694101202,101.5491238998635,101.93946555073597
2017-09-08,95.77910977926726,100.84618157141826,101.35852661626805,101.38281193601648,101.90678984809178,101.25441531233362,101.69203345701159
2017-09-11,97.5734675739964,102.22929526997292,102.87632684786215,102.7498480716767,103.32467976487524,102.75352764983373,103.03443330061593
2017-09-12,98.60690181165205,103.1066508921429,103.80157973565987,103.56208073754985,104.23535780063203,103.70824529285416,103.88304993086959
2017-09-13,99.08735064414442,103.53205695262508,104.27349698874146,103.96643557287979,104.73983617473979,104.23403948776811,104.33019716762038
2017-09-14,99.05844206765478,103.52663932383699,104.27229557632687,103.95117591610929,104.78814819587102,104.27980410426068,104.35407726220892
2017-09-15,99.25851245869664,103.76650375908575,104.52954883815319,104.21514785562148,105.00387247563556,104.49794496873687,104.57919189658638
2017-09-18,99.83491843514302,104.27728124506764,105.10470477180456,104.73017558845707,105.51974430660553,105.04653057352289,105.06382021166586
2017-09-19,100.15495259853652,104.44771733141243,105.28457574235048,104.86514925092501,105.68037076687982,105.22944765099928,105.20957234664043
2017-09-20,100.8097976740737,105.20198748971343,106.07670819460783,105.5687213848284,106.62806674569093,106.1813221340288,106.0507239606105
2017-09-21,100.64678191854972,104.8700790114961,105.78910752660425,105.25859760858846,106.21883975211455,105.80656026250007,105.65629153689697
2017-09-22,100.39477579133641,104.82907652906538,105.70996821053852,105.25764385748614,106.08880860396184,105.64793925322824,105.58761513078463
2017-09-25,99.50057631842522,104.3695614965806,105.16172242178837,104.85408643771105,105.58319670801781,105.06966730536779,105.15775111530118
2017-09-26,99.66821060004018,104.46166343316305,105.26668524706595,104.94455009101553,105.57913182960324,105.0882305551581,105.1777020383442
2017-09-27,101.36218096382885,106.2134194029427,107.10997655812275,106.63106444883523,107.37101342606645,106.93579199855279,106.87676434840932
2017-09-28,101.43379672768445,106.30868484715984,107.18169152883432,106.72178065512101,107.38526894059513,106.94852575420079,106.92574724682939
2017-09-29,101.96290419330718,106.61784593152936,107.52432999837202,107.01864175070698,107.66847643942694,107.26343718893264,107.20024513243482
2017-10-02,102.38683898630414,107.00749062039966,107.8973229368946,107.38782159743462,107.73400195512893,107.29582197500197,107.36162788243387
2017-10-03,102.46689128826584,107.0509670786218,107.9232254767307,107.4377254647921,107.78048543612582,107.38871650600548,107.40588626784223
2017-10-04,102.47354403011315,107.05586622253962,107.91517189475691,107.49660251286446,107.81711584024036,107.4686302976579,107.43941270826413
2017-10-05,103.172109859992,107.6374626132599,108.62888840697342,108.19440235330903,108.5420382727908,108.15171705699821,108.16347109219906
2017-10-06,103.45604524300853,107.67600202590766,108.76942678631227,108.10438296598737,108.66656619074705,108.13181438179646,108.29816281633089
2017-10-09,103.18659192725394,107.56075152297542,108.56945054123806,107.98672341859874,108.48995051043441,107.98863521598521,108.11906962180367
2017-10-10,103.04975073044571,107.75504940419187,108.61073196207926,108.24975902242879,108.54127741208306,108.177133435489,108.16002196821964
